iter 	posterior 	likelihood 	prior 	Tree0Likelihood	Tree.height	Tree.treeLength	clockRate	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD	mrca.date-backward(1)
64	nan	-3877.09	nan	-3877.09	0.679977	3.05277	0.176917	nan	0.1	0.5	1	0.679977	0	0.351401
65	nan	-3879.11	nan	-3879.11	0.657148	3.16651	0.183718	nan	0.1	0.5	1	0.657148	0	0.395803
66	nan	-3876.23	nan	-3876.23	0.995581	4.73272	0.119267	nan	0.1	0.5	1	0.995581	0	0.538349
67	nan	-3878.05	nan	-3878.05	0.995581	4.70141	0.119267	nan	0.1	0.5	1	0.995581	0	0.562616
68	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
69	nan	-3882.59	nan	-3882.59	0.585173	2.94737	0.16323	nan	0.1	0.5	1	0.585173	0	0.352817
70	-3920.4	-3895.84	-24.5596	-3895.84	3.31112	13.7852	0.0471189	-18.6305	0.1	0.5	1	3.31112	0	1.46573
71	nan	-3876.9	nan	-3876.9	0.657148	3.07194	0.183718	nan	0.1	0.5	1	0.657148	0	0.361595
72	nan	-3877.48	nan	-3877.48	0.995581	4.64677	0.119267	nan	0.1	0.5	1	0.995581	0	0.51404
73	-3861.06	-3894.8	33.7357	-3894.8	0.403223	2.18719	0.209798	33.849	0.1	0.5	1	0.403223	0	0.276133
74	-4020.96	-3997.12	-23.8404	-3997.12	1.74303	5.72933	0.157759	-21.0475	0.1	0.5	1	1.74303	0	0.452322
75	nan	-3878.96	nan	-3878.96	0.657148	3.09412	0.183718	nan	0.1	0.5	1	0.657148	0	0.356249
76	-3860.38	-3894.45	34.0633	-3894.45	0.403223	2.15802	0.209798	34.1766	0.1	0.5	1	0.403223	0	0.269784
77	nan	-3875.79	nan	-3875.79	0.679977	3.07594	0.176917	nan	0.1	0.5	1	0.679977	0	0.351387
78	-3923.07	-3932.72	9.65837	-3932.72	0.216672	1.27094	0.285721	9.39857	0.1	0.5	1	0.216672	0	0.179989
