Iteration	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
1280	-5877.558	-5865.879	-11.67901	1.852476	0.0718866	1.880759	0.03482144	0.106708	0.3263244
1290	-5876.764	-5862.438	-14.32577	1.852476	-0.3711625	1.856614	0.4443366	0.0731741	6.072321
1300	-5874.837	-5862.23	-12.60773	1.852476	-0.2329919	1.856614	0.2590324	0.02604054	9.947276
1310	-5873.955	-5862.841	-11.11428	1.852476	-0.0219624	1.856614	0.04526972	0.02330732	1.942296
1320	-5875.715	-5864.938	-10.77643	1.852476	-0.005305055	1.865697	0.009379726	0.00407467	2.301959
1330	-5877.713	-5866.193	-11.52011	1.852476	0.07349785	1.870319	0.02461376	0.09811161	0.2508751
1340	-5876.333	-5864.484	-11.8494	1.852476	-0.1229963	1.8672	0.1476885	0.02469223	5.981174
1350	-5875.504	-5863.039	-12.46531	1.852476	0.03364446	1.86116	0.1128478	0.1464922	0.7703329
1360	-5875.477	-5864.512	-10.96526	1.860352	-0.004963028	1.868437	0.02284711	0.01788408	1.277511
1370	-5876.809	-5864.207	-12.60197	1.860352	-0.1570709	1.874623	0.2158981	0.05882727	3.670035
1380	-5877.081	-5862.52	-14.56118	1.860352	-0.1840831	1.863723	0.3607803	0.1766972	2.041799
1390	-5878.617	-5865.832	-12.78537	1.847929	-0.2695596	1.908641	0.281363	0.0118034	23.83745
1400	-5872.674	-5861.292	-11.38207	1.847929	-0.1051375	1.848409	0.108533	0.003395569	31.96313
1410	-5872.572	-5861.766	-10.80561	1.847929	-0.0233147	1.848586	0.02467821	0.001363514	18.09898
1420	-5877.292	-5864.259	-13.03315	1.847929	-0.3439945	1.848586	0.346595	0.002600494	133.2804
1430	-5876.556	-5863.039	-13.51672	1.847929	-0.3275972	1.849447	0.3695364	0.04193918	8.811245
1440	-5876.061	-5863.77	-12.29096	1.855888	-0.1189233	1.862417	0.1768351	0.05791173	3.053527
