Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
79	1	-5875.302	-5863.465	-11.83678	1.851022	-0.02577351	1.861908	0.09841837	0.07264486	1.354788
80	0	-5879.867	-5866.736	-13.13151	1.847551	0.02535045	1.851864	0.1625776	0.187928	0.8651055
81	1	-5874.92	-5862.052	-12.86784	1.851022	0.06852946	1.857017	0.1237964	0.1923259	0.6436805
82	0	-5878.179	-5866.202	-11.977	1.847551	-0.05529978	1.851864	0.1244419	0.06914215	1.799798
83	1	-5876.28	-5861.565	-14.71532	1.851022	0.4489372	1.857017	0.06058571	0.5095229	0.1189068
84	0	-5879.945	-5868.216	-11.72883	1.847551	-0.1184078	1.851864	0.1392137	0.02080595	6.691052
85	1	-5878.472	-5861.92	-16.55232	1.851022	0.5596713	1.857017	0.121255	0.6809263	0.1780736
86	0	-5878.056	-5865.743	-12.31353	1.847551	-0.1599622	1.851864	0.2010561	0.04109387	4.892604
87	1	-5877.327	-5862.322	-15.00481	1.851022	0.254647	1.857017	0.1726106	0.4272575	0.4039965
88	0	-5878.991	-5866.908	-12.08319	1.847551	0.01441776	1.851864	0.0968995	0.1113173	0.8704805
89	1	-5873.449	-5861.447	-12.00168	1.851022	-0.05748778	1.857017	0.1269997	0.0695119	1.827021
90	0	-5878.542	-5866.86	-11.68207	1.847551	0.1008045	1.854995	0.02529656	0.1261011	0.2006054
91	1	-5874.747	-5861.563	-13.18324	1.851022	-0.08992283	1.852709	0.2252271	0.1353042	1.664597
92	0	-5882.049	-5866.747	-15.3013	1.847551	0.5815522	1.854995	0.03253753	0.6140897	0.05298498
93	1	-5875.052	-5860.985	-14.06704	1.851022	-0.3866175	1.852709	0.4362281	0.04961063	8.793038
94	0	-5878.378	-5864.754	-13.62374	1.847551	0.3679546	1.848203	0.02931945	0.397274	0.07380159
95	1	-5875.855	-5862.64	-13.21439	1.851022	-0.2502561	1.863246	0.30768	0.05742383	5.358053
96	0	-5876.303	-5863.702	-12.60066	1.847551	0.2024134	1.848203	0.04086583	0.2432792	0.1679791
97	1	-5874.359	-5862.497	-11.86136	1.851022	-0.08870515	1.863246	0.1317236	0.04301841	3.062028
98	0	-5877.407	-5863.673	-13.7342	1.847551	0.1303486	1.848203	0.1511229	0.2814715	0.536903
99	1	-5875.832	-5863.213	-12.61896	1.851022	-0.1617194	1.863246	0.2219269	0.06020744	3.686037
100	0	-5875.916	-5864.26	-11.65689	1.847551	-0.02047763	1.848203	0.08527097	0.06479334	1.316045
101	1	-5875.318	-5862.534	-12.78339	1.851022	-0.2351707	1.863246	0.2710722	0.03590142	7.550457
102	0	-5878.719	-5864.701	-14.01806	1.847551	-0.4219305	1.848203	0.4506686	0.02873812	15.68191
103	1	-5874.369	-5861.479	-12.88967	1.851022	-0.1300996	1.863246	0.2239994	0.09389984	2.385514
104	0	-5873.952	-5859.353	-14.59878	1.847551	-0.4145862	1.848203	0.484625	0.07003873	6.919385
105	1	-5874.354	-5860.443	-13.9105	1.847781	0.2421546	1.857307	0.1080084	0.3501629	0.3084517
106	0	-5872.012	-5859.54	-12.47164	1.847551	0.12876	1.849043	0.06815991	0.1969199	0.3461301
107	1	-5873.315	-5861.903	-11.41151	1.847781	0.0495464	1.857307	0.03117904	0.08072544	0.3862356
108	0	-5875.005	-5861.555	-13.45005	1.847551	0.03026408	1.862307	0.1803164	0.2105805	0.8562826
109	1	-5877.152	-5864.22	-12.93158	1.847781	-0.08785233	1.883521	0.2019516	0.1140993	1.769964
110	0	-5873.186	-5861.644	-11.5416	1.847551	-0.09312379	1.862307	0.1109868	0.01786296	6.213235
111	1	-5874.852	-5861.962	-12.89007	1.847781	0.04527114	1.849464	0.1383581	0.1836293	0.7534644
112	0	-5875.503	-5863.922	-11.58034	1.847551	0.05930624	1.871342	0.03544426	0.0947505	0.3740799
113	1	-5885.314	-5866.803	-18.51056	1.847781	0.06341689	1.851946	0.4841018	0.5475187	0.884174
114	0	-5878.183	-5865.735	-12.44767	1.847551	-0.02034086	1.871342	0.1365005	0.1161597	1.175111
115	1	-5876.695	-5864.299	-12.39628	1.845312	0.1281868	1.875239	0.05911717	0.187304	0.3156216
116	0	-5875.827	-5861.906	-13.92144	1.847551	0.1574187	1.859642	0.1488793	0.306298	0.4860604
117	1	-5880.03	-5866.67	-13.36033	1.845312	0.3056044	1.876814	0.03897943	0.3445838	0.1131203
118	0	-5876.332	-5862.862	-13.47051	1.847551	-0.2635354	1.862102	0.3309106	0.06737521	4.911459
119	1	-5874.391	-5861.987	-12.40469	1.845312	0.2098911	1.868874	0.0209823	0.2308734	0.09088227
120	0	-5877.339	-5864.893	-12.4464	1.847551	-0.1984172	1.862102	0.2286992	0.03028193	7.552332
121	1	-5877.385	-5860.886	-16.49888	1.845312	0.3902771	1.849869	0.2002683	0.5905454	0.3391243
122	0	-5878.103	-5864.857	-13.24678	1.847551	0.2896529	1.853958	0.04119981	0.3308527	0.1245262
123	1	-5875.487	-5860.914	-14.57344	1.845312	-0.02277341	1.85254	0.281947	0.2591736	1.087869
124	0	-5874	-5861.193	-12.80752	1.847551	0.2680793	1.853958	0.02261279	0.2906921	0.0777895
125	1	-5875.923	-5862.14	-13.78343	1.845312	-0.362033	1.85254	0.4048337	0.04280069	9.458579
126	0	-5875.894	-5863.102	-12.79182	1.847551	0.2922487	1.853273	0.009946177	0.3021949	0.03291313
